issue_id,issue_name,obd_code,system,component,severity,symptoms,likely_causes,diagnostic_steps,diy_or_mechanic
issue_0016,Generator (Alternator) Fault,P2500,Electrical,Alternator,Critical,"Battery warning light, dimming lights, eventual dead battery","Worn alternator bearings, diode failure, voltage regulator issue",1. Scan for P2500 code. 2. Measure alternator output voltage at idle (≈13.5-14.5V). 3. Check AC ripple with oscilloscope. 4. Inspect drive belt tension. 5. Replace alternator if output low or ripple high. 6. Clear code.,Mechanic Required
issue_0017,Camshaft Position Sensor Bank 1 Failure,P3000,Engine,Camshaft Position Sensor,High,"Engine stalling, misfire, check engine light","Sensor failure, oil contamination, damaged wiring",1. Verify P3000 code. 2. Check sensor signal with oscilloscope (should be a clean waveform). 3. Inspect for oil leaks onto sensor. 4. Replace sensor if signal absent or erratic. 5. Clear code and test drive.,Mechanic Recommended
issue_0018,ABS Hydraulic Pump Failure,N/A,Brakes,ABS Hydraulic Pump,Critical,"ABS light on, loss of ABS functionality, pulsating brake pedal","Pump seal leak, motor burnout, contaminated brake fluid",1. Scan ABS module for fault codes. 2. Inspect pump for fluid leaks. 3. Measure pump motor resistance (should be within spec). 4. Replace pump if motor open/short or fluid contamination present. 5. Bleed brakes and reset ABS module.,Mechanic Required
issue_0019,Rear Coil Spring Sag,N/A,Suspension,Rear Coil Spring,Medium,"Uneven ride height, rear sag, handling instability","Spring fatigue, overloading, corrosion",1. Measure rear ride height compared to manufacturer specs. 2. Visually inspect springs for cracks or deformation. 3. Replace rear coil springs if sag exceeds tolerance. 4. Re-torque suspension bolts to spec.,DIY
issue_0020,Radiator Fan Relay Failure,N/A,Cooling,Radiator Fan Relay,High,"Engine overheating, fan not engaging, coolant temperature spikes","Burned relay contacts, wiring short, control module issue",1. Check fan operation with engine at operating temperature. 2. Test relay by applying 12V to coil terminals; listen for click. 3. Measure voltage at fan power side when coolant temp high. 4. Replace relay if no click or no voltage. 5. Verify fan operation after replacement.,DIY
issue_0021,Coolant Thermostat Malfunction,P0128,Cooling,Thermostat,Medium,"Engine coolant temperature not reaching optimal, heater not blowing warm air, check engine light","Stuck open thermostat, low coolant level, faulty coolant temperature sensor",1. Scan for P0128 code. 2. Verify coolant temperature with infrared thermometer. 3. Perform thermostat flow test by removing and placing in hot water. 4. Check coolant level and sensor wiring.,DIY
issue_0022,Cylinder 1 Misfire Detected,P0301,Engine,Ignition Coil,High,"Rough idle, loss of power, engine vibration, check engine light","Faulty ignition coil, worn spark plug, fuel injector clog",1. Retrieve P0301 code. 2. Inspect spark plug for wear or fouling. 3. Swap coil with another cylinder and see if code follows. 4. Perform compression test on cylinder 1.,Mechanic Recommended
issue_0023,Evap System Small Leak Detected,P0442,Electrical,EVAP Hose,Low,"Check engine light, possible fuel odor","Loose or cracked EVAP hose, faulty gas cap",1. Scan for P0442. 2. Perform visual inspection of EVAP hoses and gas cap. 3. Use smoke machine to locate leak. 4. Replace defective hose or cap.,DIY
issue_0024,Idle Control System Malfunction,P0505,Engine,Idle Air Control Valve,Medium,"Stalling at idle, rough idle, check engine light","Dirty IAC valve, faulty IAC motor, vacuum leak",1. Read P0505 code. 2. Remove IAC valve and inspect for carbon buildup. 3. Clean IAC with appropriate cleaner. 4. Test IAC operation with multimeter. 5. Check for vacuum leaks.,DIY
issue_0025,ECM/PCM Memory Checksum Error,P0606,Electrical,Engine Control Module,Critical,"Engine may not start, intermittent stalling, check engine light","Corrupted ECM software, poor grounding, water intrusion",1. Scan for P0606. 2. Verify battery voltage >12.4V. 3. Inspect ECM connectors for corrosion. 4. Reflash or replace ECM using dealer equipment.,Mechanic Required
issue_0026,Transmission Range Sensor (PRNDL) Circuit Malfunction,P0705,Transmission,Range Sensor,High,"Gear stuck in neutral, inability to shift, check engine light","Faulty range sensor, damaged wiring, TCM issue",1. Retrieve P0705 code. 2. Inspect sensor connector for damage. 3. Test sensor resistance with multimeter per service spec. 4. Replace sensor if out of spec.,Mechanic Recommended
issue_0027,Hybrid Battery State of Charge Imbalance,P0A20,Electrical,Hybrid Battery Pack,Critical,"Reduced electric assist, warning light, decreased fuel economy","Failed battery module, imbalance in cell voltage, BMS fault",1. Scan for P0A20. 2. Use hybrid diagnostic tool to read individual module voltages. 3. Identify out‑of‑balance cells. 4. Replace faulty module or recondition battery.,Mechanic Required
issue_0028,Fuel Pressure Regulator Leak Detected,P1380,Engine,Fuel Pressure Regulator,Medium,"Hard start, poor acceleration, check engine light","Leaking regulator diaphragm, clogged fuel filter, faulty fuel pump",1. Scan for P1380. 2. Measure fuel rail pressure with gauge. 3. Inspect regulator for external fuel seepage. 4. Replace regulator if pressure out of spec.,DIY
issue_0029,Alternator Voltage Regulator Failure,P2503,Electrical,Alternator Voltage Regulator,High,"Battery warning light, dimming lights, eventual battery drain","Internal regulator failure, wiring short, blown fuse",1. Retrieve P2503. 2. Test alternator output voltage at idle and 2000 rpm. 3. Check regulator wiring and fuse. 4. Replace alternator if regulator output is abnormal.,Mechanic Recommended
issue_0030,Exhaust Gas Recirculation (EGR) Flow Insufficient,P0401,Engine,EGR Valve,Medium,"Engine knocking, rough idle, higher emissions","Clogged EGR passages, stuck closed valve, vacuum leak",1. Scan for P0401. 2. Remove EGR valve and inspect for carbon buildup. 3. Clean passages with appropriate solvent. 4. Test valve actuation with vacuum pump or electrical test.,DIY
issue_0031,Mass Air Flow Sensor Circuit Range/Performance,P0101,Engine,Mass Air Flow Sensor,Medium,"Check engine light, rough idle, reduced fuel efficiency","Dirty MAF sensor, cracked intake hose, wiring short","1. Scan for P0101 code. 2. Inspect intake hose for cracks or leaks. 3. Disconnect MAF sensor and measure voltage output while cranking. 4. Clean MAF sensor with appropriate cleaner. 5. Reinstall and clear codes, then test drive.",DIY
issue_0032,Camshaft Position Sensor Circuit Malfunction,P0340,Engine,Camshaft Position Sensor,High,"Engine stalling, hard start, loss of power","Faulty sensor, damaged wiring, timing belt slip",1. Retrieve P0340 code. 2. Visual inspection of sensor connector and harness for corrosion. 3. Measure resistance of sensor (compare to spec). 4. Use oscilloscope to verify signal while cranking. 5. Replace sensor if out of spec and clear codes.,Mechanic Recommended
issue_0033,System Voltage Low,P0562,Electrical,Battery/Charging System,Critical,"Engine may not start, dim headlights, check engine light","Weak battery, poor alternator output, loose battery terminals",1. Scan for P0562. 2. Measure battery voltage with engine off (should be >12.4V). 3. Start engine and measure voltage at battery terminals (should be 13.5‑14.5V). 4. Inspect and clean battery terminals and grounds. 5. Test alternator output load test if voltage low.,DIY
issue_0034,Cooling Fan Relay Circuit Malfunction,P2180,Cooling,Cooling Fan Relay,Medium,"Engine overheating, fan not engaging, check engine light","Failed relay, blown fuse, wiring short",1. Retrieve P2180 code. 2. Locate fan relay and check fuse. 3. Swap relay with identical known-good unit. 4. Test fan operation with engine at operating temperature. 5. Inspect relay control circuit for continuity.,DIY
issue_0035,Exhaust Gas Recirculation Flow Insufficient (Bank 2),P0402,Engine,EGR Valve,Low,"Rough idle, increased emissions, occasional stalling","Clogged EGR valve, carbon buildup, stuck actuator",1. Scan for P0402. 2. Remove EGR valve and inspect for carbon deposits. 3. Clean valve with appropriate cleaner. 4. Reinstall and clear code. 5. Perform road test to verify resolution.,DIY
issue_0036,ECU Memory Fault,P0666,Engine,Engine Control Unit,High,"Intermittent stalling, random loss of power, check engine light","Corroded ECU connectors, water intrusion, failed ECU","1. Retrieve P0666. 2. Inspect ECU connector pins for corrosion or damage. 3. Perform voltage check on ECU power and ground circuits. 4. If pins and voltage are good, consider ECU reflash or replacement. 5. Clear codes and perform functional test.",Mechanic Required
issue_0037,Transmission Range Sensor Circuit Failure,P0706,Transmission,Range Sensor (PRNDL),Medium,"Gear selector stuck, no gear changes, transmission warning light","Faulty range sensor, damaged wiring harness, poor connections","1. Scan for P0706. 2. Locate range sensor and inspect connector. 3. Test sensor resistance according to service manual. 4. Verify continuity of wiring harness. 5. Replace sensor if out of spec, then clear codes.",Mechanic Recommended
issue_0038,O2 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2),P1345,Engine,Oxygen Sensor Heater,Low,"Check engine light, slightly higher fuel consumption","Heater element failure, wiring short, blown fuse",1. Retrieve P1345. 2. Locate O2 sensor bank 2 sensor 2. 3. Test heater circuit voltage with engine off and running. 4. Inspect fuse related to O2 heater circuit. 5. Replace sensor if heater is open circuit.,DIY
issue_0039,Power Steering Pressure Sensor Low Input,P1234,Steering,Power Steering Pressure Sensor,Medium,"Steering feels heavy, intermittent loss of power assist, warning lamp","Faulty pressure sensor, hydraulic leak, electrical fault",1. Scan for P1234. 2. Check power steering fluid level and look for leaks. 3. Measure sensor output voltage at low and high steering torque conditions. 4. Inspect wiring harness for damage. 5. Replace sensor if output out of spec.,Mechanic Recommended
issue_0040,Throttle Actuator Control Motor Performance/Stuck,P2102,Engine,Throttle Body Motor,High,"Throttle lag, unexpected acceleration, check engine light","Motor failure, carbon buildup, wiring short","1. Retrieve P2102. 2. Perform throttle body visual inspection for carbon. 3. Test motor resistance per service manual. 4. Apply 12V to motor terminals to verify movement. 5. Clean throttle body, replace motor if no movement, then clear codes.",Mechanic Required
issue_0041,EVAP System Leak Detected (Small Leak),P0456,Electrical,Evaporative Emission Control System,Medium,"Check engine light, fuel odor, failed emissions test","Loose fuel cap, cracked vapor hose, faulty purge valve",1. Verify Check Engine Light is stored. 2. Perform EVAP leak test with smoke machine. 3. Inspect fuel cap and vapor lines for damage. 4. Test purge valve operation with multimeter.,DIY
issue_0042,Exhaust Gas Recirculation Flow Insufficient,P0410,Engine,EGR Valve,High,"Rough idle, reduced fuel economy, increased emissions","Clogged EGR passages, stuck EGR valve, vacuum leak",1. Scan for P0410 code. 2. Remove and inspect EGR valve for carbon buildup. 3. Perform vacuum test on EGR control circuit. 4. Measure EGR flow with a flow meter if available.,Mechanic Required
issue_0043,Control Module Communication Bus Error,P0608,Electrical,ECU Communication Bus,Critical,"Multiple warning lights, intermittent engine stall, loss of power","Damaged wiring harness, faulty ECU, poor ground connections",1. Retrieve all stored codes. 2. Inspect ECU connectors for corrosion. 3. Test continuity of communication wiring. 4. Perform ECU power and ground voltage checks.,Mechanic Required
issue_0044,O2 Sensor Heater Circuit Low Voltage (Bank 1 Sensor 2),P0141,Engine,Oxygen Sensor Heater,Medium,"Check engine light, poor fuel efficiency, increased emissions","Faulty O2 sensor heater, open circuit, blown fuse",1. Scan for P0141 code. 2. Check fuse for O2 sensor circuit. 3. Measure voltage at sensor connector while engine is warm. 4. Replace sensor if heater voltage is absent.,DIY
issue_0045,Crankshaft Position Sensor A Circuit Malfunction,P0325,Engine,Crankshaft Position Sensor,High,"Engine stalls, no start, intermittent loss of power","Damaged sensor, wiring short, faulty PCM",1. Retrieve P0325 code. 2. Visual inspection of sensor and wiring. 3. Test sensor resistance with multimeter. 4. Verify signal with oscilloscope during cranking.,Mechanic Required
issue_0046,O2 Sensor Signal Stuck Lean (Bank 2 Sensor 1),P2199,Engine,Oxygen Sensor,Low,"Check engine light, slightly higher fuel consumption","Contaminated O2 sensor, exhaust leak before sensor",1. Scan for P2199 code. 2. Inspect exhaust for leaks upstream of sensor. 3. Perform live data read of O2 sensor voltage. 4. Replace sensor if voltage remains stuck.,DIY
issue_0047,Turbocharger Boost Pressure Sensor Circuit Low Input,P0219,Engine,Boost Pressure Sensor,Medium,"Loss of power, reduced boost, check engine light","Faulty boost sensor, vacuum leak, damaged wiring",1. Confirm P0219 code. 2. Inspect sensor and vacuum lines for damage. 3. Measure sensor voltage at idle and under boost. 4. Replace sensor if voltage does not change appropriately.,DIY
issue_0048,Internal Control Module Memory Checksum Error,P0601,Electrical,Engine Control Module,Critical,"Engine may not start, multiple error codes, erratic performance","Corrupted ECU firmware, voltage spikes, faulty ECU hardware",1. Retrieve all codes. 2. Check battery voltage and charging system stability. 3. Perform ECU reflash or replace if necessary. 4. Verify absence of power surges in vehicle wiring.,Mechanic Required
issue_0049,Cylinder 2 Misfire Detected,P0302,Engine,Ignition System,Medium,"Rough running, loss of power, increased fuel consumption","Faulty spark plug, bad coil, low compression",1. Scan for P0302 code. 2. Inspect and replace spark plug and coil on cylinder 2. 3. Perform compression test on cylinder 2. 4. Verify fuel injector operation.,DIY
issue_0050,Throttle/Pedal Position Sensor/Switch A Circuit,P0120,Engine,Throttle Position Sensor,High,"Stalling on idle, erratic throttle response, check engine light","Faulty TPS, damaged wiring, dirty throttle body",1. Verify P0120 code. 2. Check TPS connector for corrosion. 3. Measure TPS voltage range (0.5V closed to 4.5V open). 4. Clean throttle body and replace TPS if out of spec.,DIY
